<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;20170228;0;58.0869000;58.4987000;57.7700000;58.3132000;297675
USDRUB;D;20170301;0;58.3138000;58.5972000;57.5894000;58.2020000;312322
USDRUB;D;20170302;0;58.2643000;58.8666000;58.0071000;58.8296000;299190
USDRUB;D;20170303;0;58.8225000;59.0016000;58.0726000;58.2314000;328897
USDRUB;D;20170306;0;58.2688000;58.5269000;56.8663000;58.2100000;287992
USDRUB;D;20170307;0;58.2100000;58.3759000;57.8565000;58.1425000;289954
USDRUB;D;20170308;0;58.1465000;58.9659000;58.0248000;58.8630000;197454
USDRUB;D;20170309;0;58.8720000;59.4880000;58.6410000;59.3202000;437013
USDRUB;D;20170310;0;59.3193000;59.3497000;58.6800000;58.9171000;352317
USDRUB;D;20170313;0;58.7194000;59.3721000;58.6051000;58.7635000;337345
USDRUB;D;20170314;0;58.7193000;59.6166000;58.6052000;59.1135000;360283
USDRUB;D;20170315;0;59.2012000;59.5502000;58.1850000;58.4737000;377801
USDRUB;D;20170316;0;58.4300000;58.5387000;57.5375000;57.7708000;376028
USDRUB;D;20170317;0;57.8099000;58.0455000;57.0610000;57.1920000;333580
USDRUB;D;20170320;0;57.3828000;57.6305000;56.9748000;57.3420000;340711
USDRUB;D;20170321;0;57.4469000;57.7295000;56.9504000;57.6935000;347754
USDRUB;D;20170322;0;57.6546000;58.2180000;57.3892000;57.7020000;382385
USDRUB;D;20170323;0;57.7378000;57.7789000;56.9960000;57.2935000;320361
USDRUB;D;20170324;0;57.3550000;57.5135000;56.1590000;56.8962000;282357
USDRUB;D;20170327;0;56.9487000;57.4608000;56.6415000;56.8159000;287336
USDRUB;D;20170328;0;56.8801000;57.1811000;56.5385000;56.9935000;276508
USDRUB;D;20170329;0;56.9935000;57.1447000;56.4278000;56.5550000;298782
USDRUB;D;20170330;0;56.5752000;56.7480000;55.8548000;56.0900000;286768
USDRUB;D;20170331;0;56.0957000;56.5343000;55.7540000;56.2350000;302566
USDRUB;D;20170403;0;56.0940000;56.5020000;55.7500000;56.0060000;257467
USDRUB;D;20170404;0;56.0978000;56.7033000;55.8254000;56.0150000;295942
USDRUB;D;20170405;0;56.1609000;56.4003000;55.7313000;56.3120000;272752
USDRUB;D;20170406;0;56.3243000;56.6858000;56.0189000;56.0976000;237341
USDRUB;D;20170407;0;56.3532000;57.2605000;56.0550000;57.2450000;331660
USDRUB;D;20170410;0;57.3926000;57.5891000;57.0525000;57.1013000;271562
USDRUB;D;20170411;0;57.1970000;57.2891000;56.2617000;56.7566000;319125
USDRUB;D;20170412;0;56.9552000;57.2892000;56.2229000;56.5779000;353791
